index,integration,consumer-goods-cloud,mytrailhead,community-cloud,commerce-cloud,service-cloud,success-plans,manufacturing-cloud,salesforce-quote-to-cash,health-cloud,platform,heroku,marketing-cloud,cms,quip,sales-cloud,sales-and-service-cloud,financial-services-cloud,crm-analytics,y_pred
id=analytics_landing_page.htm,0.11267409937567889,0.11155087497235193,0.03420730033908037,0.1784543170692265,0.1453737627729282,0.20063654967456834,0.060093637552585365,0.20315877774055335,0.09323779804421714,0.16772282027439184,0.17212614937652326,0.08903356262399972,0.2658771142200268,0.06053957642759418,0.08687778754348213,0.22948251837019454,0.2077508333382859,0.20715356725697273,0.3105889388134445,crm-analytics
id=cpq_master.htm,0.03291761200496563,0.11027712592854065,0.012751481909126014,0.05534557877054366,0.14035853951423452,0.09897855409173638,0.04221984430350294,0.14388786327036512,0.3987483395048721,0.08723375665153575,0.07525000001852028,0.021414640659532483,0.07678726551297858,0.028326163370584953,0.03233304236666412,0.151066360601548,0.11419069868210291,0.11940380054703847,0.035304034579459,salesforce-quote-to-cash
id=customer360_release_notes.htm,0.10903328262057127,0.09804031402938918,0.028070950054148853,0.182086680843136,0.17568422476299705,0.15912036873334884,0.047654841517701926,0.1655182340485226,0.054698075243107665,0.11200256299972396,0.14075258078761624,0.09080380670262757,0.21030775850560454,0.056137205635473045,0.058715831811571244,0.18672888290686393,0.17365142234469413,0.17384824183656142,0.13558699051518489,
id=sales_core.htm,0.06956836391280603,0.19525473915721486,0.027794242552888856,0.18857543964346068,0.2381381100560656,0.17988426996128523,0.08347687043121817,0.42559192996468975,0.23169299944071842,0.179728503341181,0.125925453934663,0.06846583124295341,0.18444503231880827,0.05203835806156165,0.05536132302576738,0.4496892805921348,0.3458661178651347,0.30940001770465986,0.07207240643901663,sales-cloud
id=mfg_admin_parent_concept.htm,0.03028507738711846,0.15746401213753844,0.01769462390709756,0.1014641797865211,0.12159641566294109,0.09186432765649284,0.040118451800958944,0.47315368161620475,0.12481190321284981,0.07239674396983205,0.09238361763125465,0.022596851553707026,0.10973555358095753,0.028449552437527337,0.02517022892282925,0.24513765883373603,0.17264102449881347,0.1551961968096587,0.06488830186473715,manufacturing-cloud
id=b2c_rn_release_notes.htm,0.08543282869339837,0.13231870305914187,0.04742229212405876,0.10302107283162598,0.33584089910653936,0.1110457273019829,0.05052464863766817,0.1277969206423083,0.12031924756168455,0.08725855407875162,0.10865198718258234,0.04315376838801666,0.12370277287452683,0.2491432742392478,0.029514980321384193,0.12652924161681528,0.12187700392594966,0.14193150263629892,0.0336826068435364,commerce-cloud
id=service_cloud.htm,0.11921838016217257,0.18607135649356915,0.07117071835359472,0.23471782452512416,0.24063605402738075,0.4821923318976303,0.08911212064974511,0.2269502814034233,0.10746898654336819,0.23335187909380103,0.23200399901604396,0.08174669258054734,0.218990319052686,0.0972954705333985,0.07432190362410505,0.26207136757746685,0.37945595735353976,0.3315123008302216,0.08905300000539462,service-cloud
id=customer360_a.htm,0.08076497998065572,0.07457503991379912,0.022185856896592915,0.17187917028766905,0.1586094661650311,0.14176991693434973,0.0329784425608901,0.14312631027190367,0.06278567880189544,0.1054909087946381,0.10896814253295907,0.04445079868228661,0.2846561883528204,0.031963316760934106,0.03456443231590552,0.15236436180757523,0.1529927268250679,0.16743125060288377,0.0823050513506082,marketing-cloud
id=b2c_product_enablement.htm,0.012470771307512275,0.024902193858051414,0.0,0.010821000574743013,0.17417669282606366,0.014446158701125532,0.03115111471877454,0.03046770690788199,0.04790259480215878,0.02377100548997584,0.009691926330030864,0.017487203647239026,0.014871102604117899,0.12773132838284287,0.0064362950931011065,0.0310022447875251,0.024122928670253764,0.0442158222721916,0.0037127925770838147,
id=extend_click_process.htm,0.04467798300390822,0.11854785259461366,0.029462597035548398,0.12723151813863748,0.12438784184927774,0.21643522149569377,0.038801732509604336,0.1654876125161342,0.10972804041265481,0.15147887994165746,0.2049509671333651,0.031317516394677544,0.1319553857251503,0.04557333833420664,0.043047292468480394,0.2222001413305605,0.18927543582992845,0.2027120288698259,0.03511193540591075,
id=icx_b2c_intro_parent.htm,0.17095754514596403,0.11597883054165312,0.043634047347248815,0.12431103212190821,0.3496045964036513,0.20610599693802467,0.08135073841837799,0.1630855496831116,0.10791961647917221,0.13450208244269976,0.10377322324713616,0.04798308889592877,0.21130224361500902,0.09036641244382465,0.035589215616090665,0.17477366303979522,0.1932554389049457,0.21609557683958608,0.055482363110041184,commerce-cloud
id=b2b_commerce_release_notes.htm,0.08263587548320801,0.09337291522552484,0.05617831404896133,0.13026185445938365,0.28190163530068857,0.11610432032414895,0.06278236542799868,0.12252968818691881,0.09042573092650609,0.08445037774044142,0.1095317757974461,0.05040581782110218,0.1259825913778239,0.13608835908892725,0.03915342115760936,0.11824679874155868,0.1188954709412099,0.12466061781136524,0.03609230811275858,commerce-cloud
id=mc_cross_cloud_products.htm,0.08933313951953564,0.06660057663565228,0.031606975564430706,0.12964203062793192,0.17154397670954766,0.16151532225292448,0.05988806308879978,0.14703853149564514,0.05668557938707439,0.12115683723896073,0.10380699082073953,0.040466253933352674,0.388303945794827,0.06886948089500712,0.03539186377416313,0.1801987125837904,0.18321543587292924,0.1658582259027467,0.07229080247602271,marketing-cloud
id=console2_about.htm,0.039068611441649574,0.05151625079013901,0.026540875191630404,0.09450555547907202,0.07513308154356134,0.187972566378308,0.05149838079723374,0.12026439534943698,0.030179732416555898,0.09016759627837316,0.23046906071540404,0.03731821614922125,0.057257870176762905,0.04654763004155315,0.062327388432377076,0.13647122856232788,0.19039030940689244,0.1556077964287965,0.02762699248697072,
id=workdotcom.htm,0.07186650153251863,0.10468226783791167,0.07610516692537798,0.10791332698869845,0.11629831733280126,0.1413427942879887,0.03787616867148243,0.12391026940953408,0.06040225128054801,0.1331576362272217,0.14265728797937505,0.044002546738333925,0.08632694440412031,0.03674640466316522,0.043772769575499255,0.13274209976195153,0.14522306619833347,0.1452431240669187,0.047951906006963495,
id=emergency_response_mgmt_program_requests_intro.htm,0.12259724076016172,0.2072373742831757,0.057924674170267434,0.24776853324294235,0.18722838510910828,0.24371641673574648,0.07744544848013302,0.19172320992883654,0.091472390615915,0.20780013564284186,0.22737208627120858,0.10878985464933144,0.1733150450552169,0.09388848508503635,0.06367067768185061,0.21132637669919033,0.22913137657066357,0.2381582714171646,0.11044769190577712,
id=essentials.htm,0.09595005788801984,0.13971548486168162,0.057977282037208616,0.1710353686904592,0.18242505493719705,0.35430988612059183,0.153480038248874,0.2714699079979305,0.10210285120618623,0.21973356470459582,0.18264858971437511,0.09062222655349231,0.23277945806924155,0.05861877218646078,0.09692139714719952,0.3368651482347103,0.3951147640117635,0.3198603257880541,0.05901877528127984,sales-and-service-cloud
id=extend_code_overview.htm,0.137221528611823,0.11142428270618537,0.07263725040822275,0.1800986170682267,0.1762127216302263,0.2501330380792947,0.11399053900916954,0.21834478989388828,0.08302191736777155,0.16799118027180052,0.2590575115087995,0.13152531911591628,0.1668061429363118,0.07890239224820018,0.09492083176823639,0.227950336509171,0.23186513654593754,0.22352106306139527,0.0751050118725546,platform
id=mth_intro.htm,0.045998561919964646,0.05982749325797027,0.3122174664167598,0.15126565039557568,0.10419434705741598,0.09884944156954162,0.06685925628964068,0.09383851025791991,0.04756024037499283,0.07168877587066412,0.0778369101444469,0.026086984972629672,0.16452146546322194,0.30741457187403426,0.02760383268079193,0.09620992633132203,0.10154931477280282,0.0899935670653817,0.015734352090112046,mytrailhead
